year,county,applications_received,permits_issued_new,permits_issued_renewal,permits_issued_total,denial_arrest,denial_discretionary,denial_residency,denial_restraining_order,denial_mental_illness_addiction,revocation_arrest,revocation_discretionary,revocation_residency,revocation_restraining_order,revocation_mental_illness_addiction
2014,San Juan,4,4,,4,,,,,,,,,,
2014,San Miguel,41,25,16,41,,,,,,,,,,
2014,Sedgwick,12,9,3,12,,,,,,,,,,
2014,Summit,216,79,133,212,2,,,,,2,,,,
2014,Teller,445,236,211,447,,,,,,,,,,
2014,Washington,57,48,12,60,,,,,,,,,,
2014,Weld,2692,1572,1165,2737,11,1,,2,,20,,,,
2014,Yuma,139,81,58,139,,,,,,,,,,
2015,Adams,2352,1555,670,2225,2,18,1,,3,19,4,,6,5
2015,Alamosa,139,107,32,139,,,,,,,,,,
2015,Arapahoe,3566,2286,772,3058,8,6,1,4,2,11,,,18,1
2015,Archuleta,159,106,53,159,,,,,,,,,,
2015,Baca,40,23,17,40,,,,,,,,,,
2015,Bent,29,21,8,29,,,,,,,,,,
2015,Boulder,1042,902,140,1042,1,1,1,4,,2,,,13,2
2015,Broomfield,450,265,138,403,2,,,,,2,,,,
2015,Chaffee,232,128,102,230,,,1,,,1,,,,
2015,Cheyenne,34,28,6,34,,,,,,,,,,
2015,Clear Creek,115,86,29,115,,,,,,,,,,
2015,Conejos,47,37,10,47,,,,,,,,,,
2015,Costilla,26,18,8,26,,,,,,1,,,,
2015,Crowley,16,11,4,15,,,,,1,2,,,,
2015,Custer,110,60,50,110,,,,,,1,,,,
2015,Delta,348,226,122,348,,,,,,1,,,,
2015,Denver,1752,1209,391,1600,33,,,,,2,,,,
2015,Dolores,25,14,11,25,,1,,,,,,,,
2015,Douglas,3278,2232,1046,3278,4,,,1,3,24,,,2,2
2015,Eagle,234,165,69,234,1,1,2,,,1,,,,
2015,El Paso,7527,5061,2397,7458,13,11,,12,2,,5,,,
2015,Elbert,536,327,209,536,,,,,,,5,,,
2015,Fremont,485,284,193,477,3,1,,3,,,,,1,
2015,Garfield,454,310,197,507,1,,,,,10,,,,
2015,Gilpin,53,30,23,53,,,,,,1,,,,
2015,Grand,232,128,102,230,,,1,,,1,,,,
2015,Gunnison,121,66,55,121,,,,,,,2,,,
2015,Hinsdale,12,9,3,12,,,,,,,,,,
2015,Huerfano,63,36,25,61,1,,,,1,,,,,
2015,Jackson,26,7,19,26,,,,,,,,,,
2015,Jefferson,4965,2680,1132,3812,43,1,,2,,88,,,3,
2015,Kiowa,15,13,2,15,,,,,,,,,,
2015,Kit Carson,68,44,24,68,,,,,,5,,,,
2015,La Plata,338,261,92,353,1,,,,,1,,1,,
2015,Lake,58,42,16,58,1,,,,,,,,,
2015,Larimer,2818,1695,739,2434,4,4,,5,6,7,8,55,2,5
2015,Las Animas,160,96,94,190,,,,,,,,,,
2015,Lincoln,46,26,20,46,,,,,,,,,,
2015,Logan,164,105,59,164,1,,,,,2,,,,
2015,Mesa,1066,888,166,1054,,6,,,,2,,,,
2015,Mineral,14,11,3,14,,,,,,,,,,
2015,Moffat,185,105,80,185,,,,,,,,,,
2015,Montezuma,287,150,109,259,,1,,,,,,,,
2015,Montrose,423,238,161,399,,,,2,,4,,,,
2015,Morgan,231,139,92,231,,,,,,1,,,,
2015,Otero,167,108,49,157,,,,,,2,,,,
2015,Ouray,54,29,25,54,,,,,,,,,,
2015,Park,261,198,63,261,,,1,,,,,,,
2015,Phillips,40,25,15,40,,,,,,,,,,
2015,Pitkin,67,35,25,60,1,,,,,,,,,
2015,Prowers,49,40,5,45,,3,,,,,,,,1
2015,Pueblo,1178,642,487,1129,9,14,,2,3,13,2,,2,
2015,Rio Blanco,78,58,19,77,,1,,,,1,,,,
2015,Rio Grande,202,135,67,202,,,,,,,,,,
2015,Routt,153,86,67,153,,2,,,,1,,,,
2015,Saguache,38,10,,10,,,,,,,,,,
2015,San Juan,11,7,4,11,,,,,,,,,,
2015,San Miguel,32,25,7,32,,,,,,,,,,
2015,Sedgwick,17,15,2,17,,,,,,,,,,
2015,Summit,175,103,72,175,,,,,,1,,,,
2015,Teller,387,196,132,328,,3,,,,7,,,,
2015,Washington,38,23,7,30,,,,,,,,,,
2015,Weld,2065,1855,748,2603,11,,,,,14,,,,
2015,Yuma,132,86,46,132,,,,,,,,,,
2016,Adams,3617,2449,485,2934,13,14,,5,10,28,3,,7,3
2016,Alamosa,163,131,32,163,,,,,,,,,,
2016,Arapahoe,4378,3519,998,4517,23,5,2,6,6,25,,,22,4
2016,Archuleta,234,180,54,234,,,,,,,,,,
2016,Baca,76,60,16,76,,,,,,,,,,
2016,Bent,29,20,9,29,,,,,,,,,,
2016,Boulder,1642,1266,315,1581,,,,1,4,4,,,2,1
2016,Broomfield,549,430,119,549,5,2,,,,,,,1,1
2016,Chaffee,223,213,10,223,,,,,,2,,,,
2016,Cheyenne,22,18,4,22,,,,,,,,,,
2016,Clear Creek,130,99,30,129,1,,,,,,,,,
2016,Conejos,89,83,6,89,,,,,,,,,,
2016,Costilla,42,22,15,37,5,2,,,,,,,,
2016,Crowley,11,10,1,11,,,,,,,,,,
2016,Custer,135,92,43,135,,,,,,,,,,
2016,Delta,525,378,147,525,,,,,,,,,,
2016,Denver,2253,1885,368,2253,,59,,,2,7,,,,
2016,Dolores,33,19,14,33,,,,,,,,,,
2016,Douglas,4372,3051,1321,4372,11,,,3,15,35,,,5,5
2016,Eagle,286,228,58,286,1,1,1,,,,,,,
2016,El Paso,9978,7351,2454,9805,27,37,,20,3,,16,,1,
2016,Elbert,644,466,178,644,2,,,,,2,,,,
2016,Fremont,626,444,176,620,2,2,,1,1,3,1,,2,
2016,Garfield,558,388,162,550,3,,,,,5,,,,
2016,Gilpin,80,56,24,80,,,,,,,,2,,
2016,Grand,231,170,60,230,1,,,,,1,,,,
2016,Gunnison,192,135,57,192,,,,,,,,,,1
2016,Hinsdale,39,22,17,39,,,,,,,,,,
2016,Huerfano,88,51,37,88,,,2,,,,,,,
2016,Jackson,41,26,15,41,,,,,,,,,,
2016,Jefferson,5872,4657,1183,5840,57,4,,2,4,61,2,,8,4
2016,Kiowa,23,17,6,23,,,,,,,,,,
2016,Kit Carson,137,105,32,137,,,,,,2,,,,
2016,La Plata,547,448,186,634,1,,3,2,2,1,,,,
2016,Lake,83,75,8,83,,,,,,,,,,
2016,Larimer,3528,2701,1027,3728,8,11,,3,10,16,4,56,7,7
2016,Las Animas,213,169,44,213,,,,,,,,,,
2016,Lincoln,84,53,31,84,,,,,,3,,,,
2016,Logan,192,157,60,217,,,,,,2,,,,
2016,Mesa,2188,1290,898,2188,,14,,,,,,31,,
2016,Mineral,32,21,11,32,,,,,,,,,,
2016,Moffat,189,79,110,189,1,,,,,,,,,
2016,Montezuma,409,331,76,407,1,1,,,,,,,,
2016,Montrose,529,364,146,510,,,,2,,3,,,,
2016,Morgan,340,52,,52,,,,,,,,,2,
2016,Otero,170,133,37,170,,,,,,2,,,,
2016,Ouray,99,72,27,99,,,2,,,2,,,,
2016,Park,456,325,131,456,,,,,,2,,,,
2016,Phillips,82,75,7,82,,,,,,,,,,
2016,Pitkin,82,71,20,91,1,,,,,1,1,,1,
2016,Prowers,98,69,27,96,,,,,,3,,,,
2016,Pueblo,1959,1301,632,1933,17,4,,2,1,2,,,,
2016,Rio Blanco,143,92,47,139,2,,1,1,,,,,,
2016,Rio Grande,252,162,90,252,,,,,,,,,,
2016,Routt,212,145,67,212,,,1,,,,,,,
2016,Saguache,85,76,8,84,,,1,,,,,,,
2016,San Juan,19,13,6,19,,,,,,,,,,
2016,San Miguel,46,25,21,46,,,,,,,,,,
2016,Sedgwick,65,58,7,65,,,,,,,,,,
2016,Summit,227,162,58,220,6,,1,,,1,,,,
2016,Teller,681,434,251,685,1,4,,,,6,,,,
2016,Washington,64,49,15,64,,,,,,1,,,,
2016,Weld,4363,3086,937,4023,18,,,,,4,,,,
2016,Yuma,179,127,52,179,1,,,,,,,,,
2017,Adams,2972,2288,1050,3338,6,3,,,,20,1,,16,
2017,Alamosa,129,94,35,129,,,2,,,1,,,,
2017,Arapahoe,3981,3006,1335,4341,15,8,1,6,2,37,2,,24,2
2017,Archuleta,151,121,30,151,,,,,1,,,,,
2017,Baca,39,22,17,39,,,,,,,,,,
2017,Bent,31,17,14,31,,,,,,,,,,
2017,Boulder,1546,1096,450,1546,1,,,1,,2,2,,5,1
2017,Broomfield,473,342,192,534,,1,,,,4,,,,
2017,Chaffee,131,122,9,131,,,,,,7,,,,
2017,Cheyenne,30,15,15,30,,,,,,,,,,
2017,Clear Creek,95,44,49,93,1,,,1,,,,,,
2017,Conejos,60,46,14,60,,,,,,,,,,
2017,Costilla,33,17,15,32,,,1,,,,,,,
2017,Crowley,12,7,4,11,,,,1,,,,,,
2017,Custer,81,42,41,83,,1,1,1,,2,,,,
2017,Delta,399,208,191,399,,,1,,,,,,,
2017,Denver,1755,1218,411,1629,,53,,2,2,4,,,,
2017,Dolores,28,15,13,28,,,,,,,,,,
2017,Douglas,4312,2043,2269,4312,13,4,,5,7,33,,1,4,11
2017,Eagle,300,220,80,300,1,1,,,,2,,,,
2017,El Paso,8640,4189,4291,8480,14,26,,17,5,2,21,,,
2017,Elbert,613,298,315,613,1,,,,,,,,,
2017,Fremont,476,268,203,471,1,2,,,2,5,,,3,1
2017,Garfield,512,325,182,507,,,2,,,1,,,,
2017,Gilpin,61,29,30,59,2,,,,,1,,,,
2017,Grand,205,117,88,205,,,,,,,,,,
2017,Gunnison,142,89,53,142,,,,,,1,,,,
2017,Hinsdale,31,6,25,31,,,,,,,,,,
2017,Huerfano,75,40,34,74,,,1,,,,,,,
2017,Jackson,25,13,12,25,,,,,,,,,,
2017,Jefferson,5281,2813,1579,4392,25,5,2,5,6,75,1,,,3
2017,Kiowa,15,2,13,15,,,,,,,,,,
2017,Kit Carson,100,42,58,100,1,,,,,,,,,
2017,La Plata,599,310,216,526,1,,1,2,1,,1,,,
2017,Lake,53,44,9,53,,,,,,,,,,
2017,Larimer,3356,1735,1621,3356,3,4,,1,10,11,5,92,6,12
2017,Las Animas,157,87,68,155,2,,,,,,,,,
2017,Lincoln,86,35,51,86,,,,,,2,,,1,
2017,Logan,178,84,71,155,,,,,,1,,,,
2017,Mesa,1816,760,1046,1806,2,,,5,3,3,,,1,4
2017,Mineral,26,12,14,26,,,,,,,,,,
2017,Moffat,152,88,64,152,,,,,,9,,,,
2017,Montezuma,242,168,74,242,1,,,,,,,,,
2017,Montrose,434,278,135,413,,,,,,3,,,,
2017,Morgan,274,143,131,274,,,,,,,,,,
2017,Otero,127,73,50,123,,,,3,1,,,,,
2017,Ouray,122,89,33,122,,,,,,,,,,
2017,Park,347,163,184,347,,,,,,2,,,1,
2017,Phillips,39,33,6,39,,,,,,,,,,
2017,Pitkin,68,46,16,62,,2,,,,,,,,
2017,Prowers,72,37,33,70,2,,,,,,,,,
2017,Pueblo,1494,1059,435,1494,19,1,,5,1,10,1,1,2,
2017,Rio Blanco,100,30,70,100,,,1,,,3,,,,
2017,Rio Grande,205,77,126,203,,,,,,1,,,1,
2017,Routt,157,82,75,157,,,,,,,,,,
2017,Saguache,65,32,33,65,,,,,,,,,,
2017,San Juan,11,10,1,11,,,,,,,,,,
2017,San Miguel,86,19,67,86,,,,,,,,,,
2017,Sedgwick,11,7,4,11,,,,,,,,,,
2017,Summit,142,90,51,141,1,,,,,,,,,
2017,Teller,555,294,316,610,1,,20,2,,3,,,,
2017,Washington,72,49,23,72,,,,,,,1,,,
2017,Weld,2971,1892,1079,2971,17,,,,,36,,,,
2017,Yuma,137,82,53,135,,,,,,,,,,
